Name,Location,time,date,description,upvotes
Spurlock Museum exhibit | In Her Closet—How to Make a Drag Queen,"Spurlock Museum, 600 S Gregory St, Urbana",12:00am - 11:59pm,"October 4, 2019","When you hear “drag queen,” what comes to mind? The popularity of drag has exploded in recent years, and so have the questions and curiosities related to drag artistry. This exhibit explores these questions and curates a selection of costumes and materials loaned by several drag performers connected to the local area.",0
"The Good, the Bad, and the Ugly: Conservation Treatments and Decision Making Through the Ages","Main Library, Room 346",9:00 am - 5:00 pm,"October 4, 2019","While contemporary conservators strive to apply innovative modern conservation treatments for our objects, we see the good, the bad, and the ugly past repairs through the ages in our collections every day. In this exhibition, we bring together examples--many drawn from our own Rare Book & Manuscript Library--to show the dynamic practice of modern book & paper conservation.",0
Radical Illini: Conversations on Student Activism,"Main Library, Room 106, 1408 W. Gregory Drive, Urbana",9:15 am - 4:15 pm,"October 4, 2019","Join us October 4–5, 2019, for a series of panels and presentations exploring the past and present of student activism at the University of Illinois at Urbana-Champaign.",0
Health/Fitness,Flu shots on the Quad/Anniversary Plaza (south of the Union) weather permitting,10:00 am - 2:00 pm,"October 4, 2019",11:00 am - 12:00 pm,0
Bike Maintenance - Fix-a-Flat,"Campus Bike Center - 608 E Pennsylvania Ave., Champaign, IL",11:00 am - 12:00 pm,"October 4, 2019","Don’t know to fix your bicycle’s flat tire? This is the event for you. No need to bring a bike, as this is a demonstration on how to fix a flat bicycle tire.",0
Fix A Flat,"Campus Bike Center - 608 E Pennsylvania Ave Urbana, IL 61801 United States",11:00 am - 12:00 pm,"October 4, 2019","Don’t know to fix your bicycle’s flat tire? This is the event for you. No need to bring a bike, as this is a demonstration on how to fix a flat bicycle tire.",0
Krannert Art Museum Council | Fall Luncheon and Lecture,Champaign Country Club,12:00 pm,"October 4, 2019","Join us for lunch and lecture “Whither the Arboretum,” presented by U of I Arboretum Director Kevin McSweeney.",0
Womxn Rise Up: Sexual Violence: Why They Won’t Face the Facts,"University YMCA, 1001 S Wright St.",12:00 pm,"October 4, 2019","This fall, the University YMCA’s Friday Forum explores how inspiring women leaders are addressing not just issues that disproportionately affect womxn but also a myriad of the most pressing social and environmental issues in our communities. Join us as we celebrate the creativity, passion and impact of womxn working for progressive change.",0
YMCA Friday Forum Sexual Violence: Why They Won’t Face the Facts,"Latzer Hall of the University YMCA, 1001 S. Wright Street, Champaign",12:00 pm,"October 4, 2019",October 4 – Sexual Violence: Why They Won’t Face the Facts,0
YOGA at KAM,Krannert Art Museum: Hood Classroom,12:00 - 1:00 pm,"October 4, 2019",A Friday lunchtime series of free yoga classes introduces participants to the fundamentals of hatha yoga. Please bring a mat and wear comfortable clothing. Held in the Hood Classroom on the lower level of the museum.,0
Yoga at the Museum (KAM),"Lower Level, Hood Classroom, Krannert Art Museum",12:00 - 1:00 pm,"October 4, 2019",A Friday lunchtime series of free yoga classes introduces participants to the fundamentals of hatha yoga. Please bring a mat and wear comfortable clothing. Held in the Hood Classroom on the lower level of the museum. (No session Nov 29 or Dec 6),0
The Beckman Experiment: Pop-up escape rooms,Beckman Institute Room 1005,4:00 pm   8:00 pm,"October 4, 2019","Sorry, this event is sold out.",0
Hypatia Vourloumis: Resonating Practices: A Workshop in Rigorous Connectivity across Aesthetic Life-Worlds,"La Estacion Gallery, Department of Latina/Latino Studies, 1207 W Oregon, Urbana",4:30 - 5:30 pm,"October 4, 2019",Lecture,0
Resonating Practices: A Workshop in Rigorous Connectivity across Aesthetic Life-worlds,"La Estacion Gallery, 1207 W. Oregon, Urbana",4:30 - 5:30 pm,"October 4, 2019",Conference/Workshop,0
Weekly Yoga and Meditation,Illini Union Room 406,6:00 - 7:00 pm,"October 4, 2019",De-stress and energize your mind and body with 1-hour of Yoga and Meditation. *Yoga mats will be provided. *No experience necessary ;),0
Studiodance II,Studio Theatre,7:30 pm,"October 4, 2019","Always expect delightful surprises in Studiodance II, when Dance at Illinois students present their dance-making investigations curated by a panel of faculty and students.",0
Exhibit -- The Iron Horse of the Prairie State,"Main Library, room 324",12:00am - 11:59pm,"October 5, 2019","The Illinois History and Lincoln Collections is pleased to present “The Iron Horse of the Prairie State,” an exhibit that explores the evolution of the railroad in Illinois’s history. The exhibit showcases the IHLC’s holdings related to railroads, from their inception when railroad fever struck Illinois in the 1830s to today.",0
Illinois Geometry Lab at the Market,Urbana's Market at the Square: Corner of Illinois and Vine St.,8:00 am - 12:00 pm,"October 5, 2019","This week, our popular ""Ask a Scientist"" booth features the Illinois Geometry Lab! Come see what you can build using polygons and check out what we have 3D-printing! Learn more about IGL events in the community.",0
HAL Fall 2019 hackathon,1104 NCSA,12:00am - 11:59pm,"October 5, 2019",Conference/Workshop,0
KAM Exhibition | All This Beauty and Color: Highlights from the WPA,"Main Level, Kinkead Gallery",12:00am - 11:59pm,"October 5, 2019",This exhibition showcases a selection of paintings created by American artists who were employed as part of the New Deal Works Progress Administration. This art is on long term loan to Krannert Art Museum from the United States Government and is cared for as part of the museum collection.,0
KAM Exhibition | Art Since 1948,"Main Level, Rosann Gelvin Noel Gallery",12:00am - 11:59pm,"October 5, 2019","With strengths in surrealism, abstract painting, mid-century kinetic and light works, and art addressing powerful themes of history, land use, and identity, ""Art Since 1948"" surveys the collection and encourages formal and conceptual connections across six decades.",0
KAM Exhibition | Reinstallation of European and American Art,"Main Level, Bow and Trees Galleries",12:00am - 11:59pm,"October 5, 2019","The Bow and Trees Galleries, which have been freshly painted with new colors, feature thoughtful reinterpretations of KAM’s collection of European and American art from the 1300s to 1950.",0
KAM Exhibition | Revealing Presence: Women in Architecture at the University of Illinois,"Main Level, East Gallery",12:00am - 11:59pm,"October 5, 2019","""Revealing Presence"" illuminates the scale and breadth of architectural work by women and its enduring contribution to the built environment by focusing on the work of alumnae of the Illinois School of Architecture.",0
NCSA-NVIDIA AI Hackathon,1104 NCSA,8:30 am,"October 5, 2019",Other,0
Spurlock Museum exhibit | In Her Closet—How to Make a Drag Queen,"Spurlock Museum, 600 S Gregory St, Urbana",12:00am - 11:59pm,"October 5, 2019","When you hear “drag queen,” what comes to mind? The popularity of drag has exploded in recent years, and so have the questions and curiosities related to drag artistry. This exhibit explores these questions and curates a selection of costumes and materials loaned by several drag performers connected to the local area.",0
Radical Illini: Conversations on Student Activism,"Smith Memorial Hall (805 South Mathews Avenue, Urbana) and Main Library, Room 106 (1408 W. Gregory Drive, Urbana)",8:45 am - 4:00 pm,"October 5, 2019","Join us October 4–5, 2019, for a series of panels and presentations exploring the past and present of student activism at the University of Illinois at Urbana-Champaign.",0
TechHub at Heartland Maker Fest,Lincoln Square Mall,9:00 am - 2:00 pm,"October 5, 2019",TechHub will have a booth at Heartland Maker Fest,0
Tango at KAM,"Main Level, East Gallery - 500 East Peabody Drive",12:30 - 3:30 pm,"October 5, 2019",Enjoy an afternoon of Tango dancing in the galleries with live music by Tangotta.,0
TANGO at KAM,"Main Level, East Gallery",12:30 - 3:30 pm,"October 5, 2019","Enjoy an afternoon of Tango dancing in the galleries with live music by Tangotta. Tango at KAM is free and open to dancers of all abilities, with or without a dance partner. Everyone is welcome.",0
Hispanic Heritage Month Celebration,"The Urbana Free Library, 210 West Green Street, Urbana, Illinois 61801",2:00 - 3:30 pm,"October 5, 2019",Festival/Celebration,0
Carmina Burana,Foellinger Great Hall,7:30 pm,"October 5, 2019","CUSO’s 60th-anniversary season begins with some of the most vibrant music ever written, Carl Orff’s Carmina Burana. Dramatic and fateful, amorous and delightful, few works leave an audience more spellbound.",0
Sara McDonald's NYChillharmonic,"Unit One/Allen Hall, main room",7:30 pm,"October 5, 2019",Festival/Celebration,0
Studiodance II,Studio Theatre,7:30 pm,"October 5, 2019","Always expect delightful surprises in Studiodance II, when Dance at Illinois students present their dance-making investigations curated by a panel of faculty and students.",0
Exhibit -- The Iron Horse of the Prairie State,"Main Library, room 324",12:00am - 11:59pm,"October 6, 2019","The Illinois History and Lincoln Collections is pleased to present “The Iron Horse of the Prairie State,” an exhibit that explores the evolution of the railroad in Illinois’s history. The exhibit showcases the IHLC’s holdings related to railroads, from their inception when railroad fever struck Illinois in the 1830s to today.",0
HAL Fall 2019 hackathon,1104 NCSA,12:00am - 11:59pm,"October 6, 2019",Conference/Workshop,0
NCSA-NVIDIA AI Hackathon,1104 NCSA,8:30 am,"October 6, 2019",Other,0
Vet Med Open House 2019,"University of Illinois College of Veterinary Medicine 2001 S Lincoln Ave, Urbana, IL 61802",8:00 am - 4:00 pm,"October 6, 2019",Reception/Open House,0
Spurlock Museum exhibit | In Her Closet—How to Make a Drag Queen,"Spurlock Museum, 600 S Gregory St, Urbana",12:00am - 11:59pm,"October 6, 2019","When you hear “drag queen,” what comes to mind? The popularity of drag has exploded in recent years, and so have the questions and curiosities related to drag artistry. This exhibit explores these questions and curates a selection of costumes and materials loaned by several drag performers connected to the local area.",0
Exhibit -- The Iron Horse of the Prairie State,"Main Library, room 324",12:00am - 11:59pm,"October 7, 2019","The Illinois History and Lincoln Collections is pleased to present “The Iron Horse of the Prairie State,” an exhibit that explores the evolution of the railroad in Illinois’s history. The exhibit showcases the IHLC’s holdings related to railroads, from their inception when railroad fever struck Illinois in the 1830s to today.",0
KAM Exhibition | All This Beauty and Color: Highlights from the WPA,"Main Level, Kinkead Gallery",12:00am - 11:59pm,"October 7, 2019",This exhibition showcases a selection of paintings created by American artists who were employed as part of the New Deal Works Progress Administration. This art is on long term loan to Krannert Art Museum from the United States Government and is cared for as part of the museum collection.,0
KAM Exhibition | Art Since 1948,"Main Level, Rosann Gelvin Noel Gallery",12:00am - 11:59pm,"October 7, 2019","With strengths in surrealism, abstract painting, mid-century kinetic and light works, and art addressing powerful themes of history, land use, and identity, ""Art Since 1948"" surveys the collection and encourages formal and conceptual connections across six decades.",0
KAM Exhibition | Reinstallation of European and American Art,"Main Level, Bow and Trees Galleries",12:00am - 11:59pm,"October 7, 2019","The Bow and Trees Galleries, which have been freshly painted with new colors, feature thoughtful reinterpretations of KAM’s collection of European and American art from the 1300s to 1950.",0
KAM Exhibition | Revealing Presence: Women in Architecture at the University of Illinois,"Main Level, East Gallery",12:00am - 11:59pm,"October 7, 2019","""Revealing Presence"" illuminates the scale and breadth of architectural work by women and its enduring contribution to the built environment by focusing on the work of alumnae of the Illinois School of Architecture.",0
"The Good, the Bad, and the Ugly: Conservation Treatments and Decision Making Through the Ages","Main Library, Room 346",9:00 am - 5:00 pm,"October 7, 2019","While contemporary conservators strive to apply innovative modern conservation treatments for our objects, we see the good, the bad, and the ugly past repairs through the ages in our collections every day. In this exhibition, we bring together examples--many drawn from our own Rare Book & Manuscript Library--to show the dynamic practice of modern book & paper conservation.",0
Pink Week T-Shirt Sales!,Main Quad,10:00 am - 4:00 pm,"October 7, 2019","An annual tradition, Colleges Against Cancer students will design, make, and sell these unique shirts on the Quad. The shirts are very popular and tend to sell out - come early to get yours! All money supports Breast Cancer Awareness Month.",0
Health/Fitness,Flu shots at (BIF) Business Instructional Facility - Atrium,12:00 - 3:00 pm,"October 7, 2019",12:00 pm,0
SPO Brown Bag--Franki Kung--Purdue Univ.,819 Psychology,12:00 pm,"October 7, 2019",Other,0
"CLACS Lecture Series.""Puerto Rican Nationalism, Latin American Solidarity, and the 1930s: How Good Was the Good Neighbor Policy?”","101 International Studies Building, 910 S Fifth St, Champaign, IL 61820",3:00 pm,"October 7, 2019",Lecture,0
Mindful Monday,"Undergrad Library, Reflection Room Lower Level",7:00 - 8:00 pm,"October 7, 2019",Schedule your study break to stop by and enjoy a relaxation technique facilitated by McKinley's Stress Management Peers. Pick up some stress related materials and resources.,0
Exhibit -- The Iron Horse of the Prairie State,"Main Library, room 324",12:00am - 11:59pm,"October 8, 2019","The Illinois History and Lincoln Collections is pleased to present “The Iron Horse of the Prairie State,” an exhibit that explores the evolution of the railroad in Illinois’s history. The exhibit showcases the IHLC’s holdings related to railroads, from their inception when railroad fever struck Illinois in the 1830s to today.",0
Pink Week T-Shirt Sales!,Main Quad,10:00 am - 4:00 pm,"October 8, 2019","An annual tradition, Colleges Against Cancer students will design, make, and sell these unique shirts on the Quad. The shirts are very popular and tend to sell out - come early to get yours! All money supports Breast Cancer Awareness Month.",0
KAM Exhibition | All This Beauty and Color: Highlights from the WPA,"Main Level, Kinkead Gallery",12:00am - 11:59pm,"October 8, 2019",This exhibition showcases a selection of paintings created by American artists who were employed as part of the New Deal Works Progress Administration. This art is on long term loan to Krannert Art Museum from the United States Government and is cared for as part of the museum collection.,0
KAM Exhibition | Art Since 1948,"Main Level, Rosann Gelvin Noel Gallery",12:00am - 11:59pm,"October 8, 2019","With strengths in surrealism, abstract painting, mid-century kinetic and light works, and art addressing powerful themes of history, land use, and identity, ""Art Since 1948"" surveys the collection and encourages formal and conceptual connections across six decades.",0
KAM Exhibition | Reinstallation of European and American Art,"Main Level, Bow and Trees Galleries",12:00am - 11:59pm,"October 8, 2019","The Bow and Trees Galleries, which have been freshly painted with new colors, feature thoughtful reinterpretations of KAM’s collection of European and American art from the 1300s to 1950.",0
KAM Exhibition | Revealing Presence: Women in Architecture at the University of Illinois,"Main Level, East Gallery",12:00am - 11:59pm,"October 8, 2019","""Revealing Presence"" illuminates the scale and breadth of architectural work by women and its enduring contribution to the built environment by focusing on the work of alumnae of the Illinois School of Architecture.",0
Spurlock Museum exhibit | In Her Closet—How to Make a Drag Queen,"Spurlock Museum, 600 S Gregory St, Urbana",12:00am - 11:59pm,"October 8, 2019","When you hear “drag queen,” what comes to mind? The popularity of drag has exploded in recent years, and so have the questions and curiosities related to drag artistry. This exhibit explores these questions and curates a selection of costumes and materials loaned by several drag performers connected to the local area.",0
"The Good, the Bad, and the Ugly: Conservation Treatments and Decision Making Through the Ages","Main Library, Room 346",9:00 am - 5:00 pm,"October 8, 2019","While contemporary conservators strive to apply innovative modern conservation treatments for our objects, we see the good, the bad, and the ugly past repairs through the ages in our collections every day. In this exhibition, we bring together examples--many drawn from our own Rare Book & Manuscript Library--to show the dynamic practice of modern book & paper conservation.",0
Health/Fitness,Flu shots at (BIF) Business Instructional Facility - Atrium,10:30 am - 1:30 pm,"October 8, 2019",12:00 - 1:00 pm,0
AACC Food for Thought: Cultural Considerations in Improving Your Focus and Concentration,"Asian American Cultural Center Lounge, 1210 Nevada St, Urbana",12:00 - 1:00 pm,"October 8, 2019","Food for Thought, part of the Office of Inclusion and Intercultural Relation's Lunch on Us series, is a weekly noontime discussion focused on topics relevant to the Asian American community. Past discussions include topics such as nutrition, mental health, sexual health, and issues of queer Asian Americans.",0
"CSAMES Brown Bag series talk--Financialization at the Margins: Women, Money and Social Capital in Gujarat, India",Lucy Ellis Lounge; 707 S. Mathews Ave.; Urbana,12:00 pm,"October 8, 2019",Lecture,0
Curious and Eclectic Seminar: Melissa Littlefield,Beckman 1005,12:00 pm,"October 8, 2019","Melissa Littlefield, a professor of English whose interests include sociotechnical studies, “the body,” and culture, is the featured speaker. She has written about the cultural concept and consequences of technologies such as lie detectors, magnetic resonance imaging, and electroencephalogram. Lunch will be provided.",0
IGB Pioneers Seminar - BSD,612 Conference Center Carl R. Woese Institute for Genomic Biology,12:00 pm,"October 8, 2019","Jay Keasling, PhD University of California Berkeley College of Chemistry; Professor, Department of Chemical & Biomolecular Engineering and Professor, Department of Bioengineering",0
Mindfulness Meditation,Wohlers Hall - Rm. 174,12:00 - 12:50 pm,"October 8, 2019",This beginner-friendly course will introduce the concept of mindful meditation.,0
Noontime Scholars Lecture with Sean Pollock: Who Spoke for Russia’s Muslims? Turkic Sources on Russian Empire in the Caucasus,101 International Studies Building,12:00 pm,"October 8, 2019",Lecture,0
Mindful Meditation,"Spurlock Museum, 600 S Gregory St, Urbana",12:30 - 1:00 pm,"October 8, 2019","During each 30–minute session, Mary Wolters of Green Yoga Spa will help participants bring a focus to their breathing and share tips for how to engage mindfully. No registration or special equipment is necessary, and participants may attend as many or few sessions as they like.",0
Health/Fitness,Flu shots at Tri Delta,4:00 - 6:30 pm,"October 8, 2019",7:00 - 8:15 pm,0
Tuesdays @ 7 Workshop - Tackling Homesickness & Loneliness,Lincoln Hall 1024,7:00 - 8:15 pm,"October 8, 2019",Counseling Center Paraprofessionals are a group of undergraduate students who work to assist other students in embracing wellness. Each semester they hold weekly workshops on wellness topics that are relevant to our campus.,0
Exhibit -- The Iron Horse of the Prairie State,"Main Library, room 324",12:00am - 11:59pm,"October 9, 2019","The Illinois History and Lincoln Collections is pleased to present “The Iron Horse of the Prairie State,” an exhibit that explores the evolution of the railroad in Illinois’s history. The exhibit showcases the IHLC’s holdings related to railroads, from their inception when railroad fever struck Illinois in the 1830s to today.",0
Pink Week T-Shirt Sales!,Main Quad,10:00 am - 4:00 pm,"October 9, 2019","An annual tradition, Colleges Against Cancer students will design, make, and sell these unique shirts on the Quad. The shirts are very popular and tend to sell out - come early to get yours! All money supports Breast Cancer Awareness Month.",0
2019 NCSA Industry Conference,NCSA building,12:00am - 11:59pm,"October 9, 2019",Conference/Workshop,0
KAM Exhibition | All This Beauty and Color: Highlights from the WPA,"Main Level, Kinkead Gallery",12:00am - 11:59pm,"October 9, 2019",This exhibition showcases a selection of paintings created by American artists who were employed as part of the New Deal Works Progress Administration. This art is on long term loan to Krannert Art Museum from the United States Government and is cared for as part of the museum collection.,0
KAM Exhibition | Art Since 1948,"Main Level, Rosann Gelvin Noel Gallery",12:00am - 11:59pm,"October 9, 2019","With strengths in surrealism, abstract painting, mid-century kinetic and light works, and art addressing powerful themes of history, land use, and identity, ""Art Since 1948"" surveys the collection and encourages formal and conceptual connections across six decades.",0
KAM Exhibition | Reinstallation of European and American Art,"Main Level, Bow and Trees Galleries",12:00am - 11:59pm,"October 9, 2019","The Bow and Trees Galleries, which have been freshly painted with new colors, feature thoughtful reinterpretations of KAM’s collection of European and American art from the 1300s to 1950.",0
KAM Exhibition | Revealing Presence: Women in Architecture at the University of Illinois,"Main Level, East Gallery",12:00am - 11:59pm,"October 9, 2019","""Revealing Presence"" illuminates the scale and breadth of architectural work by women and its enduring contribution to the built environment by focusing on the work of alumnae of the Illinois School of Architecture.",0
Spurlock Museum exhibit | In Her Closet—How to Make a Drag Queen,"Spurlock Museum, 600 S Gregory St, Urbana",12:00am - 11:59pm,"October 9, 2019","When you hear “drag queen,” what comes to mind? The popularity of drag has exploded in recent years, and so have the questions and curiosities related to drag artistry. This exhibit explores these questions and curates a selection of costumes and materials loaned by several drag performers connected to the local area.",0
"The Good, the Bad, and the Ugly: Conservation Treatments and Decision Making Through the Ages","Main Library, Room 346",9:00 am - 5:00 pm,"October 9, 2019","While contemporary conservators strive to apply innovative modern conservation treatments for our objects, we see the good, the bad, and the ugly past repairs through the ages in our collections every day. In this exhibition, we bring together examples--many drawn from our own Rare Book & Manuscript Library--to show the dynamic practice of modern book & paper conservation.",0
University Primary School Community Open House,"Children's Research Center, 51 Gerty Drive, Champaign, IL",9:00 am,"October 9, 2019",Reception/Open House,0
Health/Fitness,Flu shots at Krannert Center for the Performing Arts - Lobby,10:00 am - 2:00 pm,"October 9, 2019",11:30 am - 1:00 pm,0
"Jr. Faculty Fall 2019 Teaching Series, wksp #4: The Art of Lecturing",Room 428 Armory Buildling (Southwest corner of the building),11:30 am - 1:00 pm,"October 9, 2019",Conference/Workshop,0
"CAS Brown Bag series talk--Service Delivery and Tax Morale in Zomba, Malawi",Room 101 International Studies Building; 910 S. Fifth St.; Champaign,12:00 pm,"October 9, 2019",Lecture,0
Chicana Movidas: New Narratives of Activism and Feminism in the Movement Era,"Levis Faculty Center, room 422, 919 W. Illinois Street",4:00 - 5:30 pm,"October 9, 2019",Lecture,0
Chicana Movidas: New Narratives of Activism and Feminism in the Movement Era,"Room 422, Levis Faculty Center | 919 W Illinois St, Urbana",4:00 - 5:30 pm,"October 9, 2019",A roundtable discussion and book celebration with editors of the volume MARIA EUGENIA COTERA & MALELI BLACKWEL,0
5 Minute Facts: Stress Management,"Grainger Library, 4th Floor",5:00 - 7:00 pm,"October 9, 2019",Take a study break to refresh and refocus. Pick up some stress management materials and resources.,0
Dare to Dream,"Huff Hall, Room 209",5:15 - 6:15 pm,"October 9, 2019","Being intentional about dreaming, goal setting and action at any stage in life!",0
[GEL] Ask International Students Anything!,AACC,5:30 - 7:00 pm,"October 9, 2019",Interested in studying abroad? Wondering about the student life in another country? Wanting to get connected with our international students on campus and having a safe space to Ask International Students Anything? Join us on 10/9 at GEL!,0
Illinois Volleyball vs. Minnesota,Huff Hall,8:00 pm,"October 9, 2019",Sporting Event,0
Exhibit -- The Iron Horse of the Prairie State,"Main Library, room 324",12:00am - 11:59pm,"October 10, 2019","The Illinois History and Lincoln Collections is pleased to present “The Iron Horse of the Prairie State,” an exhibit that explores the evolution of the railroad in Illinois’s history. The exhibit showcases the IHLC’s holdings related to railroads, from their inception when railroad fever struck Illinois in the 1830s to today.",0
Pink Week T-Shirt Sales!,Main Quad,10:00 am - 4:00 pm,"October 10, 2019","An annual tradition, Colleges Against Cancer students will design, make, and sell these unique shirts on the Quad. The shirts are very popular and tend to sell out - come early to get yours! All money supports Breast Cancer Awareness Month.",0
2019 NCSA Industry Conference,NCSA building,12:00am - 11:59pm,"October 10, 2019",Conference/Workshop,0
KAM Exhibition | All This Beauty and Color: Highlights from the WPA,"Main Level, Kinkead Gallery",12:00am - 11:59pm,"October 10, 2019",This exhibition showcases a selection of paintings created by American artists who were employed as part of the New Deal Works Progress Administration. This art is on long term loan to Krannert Art Museum from the United States Government and is cared for as part of the museum collection.,0
KAM Exhibition | Art Since 1948,"Main Level, Rosann Gelvin Noel Gallery",12:00am - 11:59pm,"October 10, 2019","With strengths in surrealism, abstract painting, mid-century kinetic and light works, and art addressing powerful themes of history, land use, and identity, ""Art Since 1948"" surveys the collection and encourages formal and conceptual connections across six decades.",0
KAM Exhibition | Reinstallation of European and American Art,"Main Level, Bow and Trees Galleries",12:00am - 11:59pm,"October 10, 2019","The Bow and Trees Galleries, which have been freshly painted with new colors, feature thoughtful reinterpretations of KAM’s collection of European and American art from the 1300s to 1950.",0
KAM Exhibition | Revealing Presence: Women in Architecture at the University of Illinois,"Main Level, East Gallery",12:00am - 11:59pm,"October 10, 2019","""Revealing Presence"" illuminates the scale and breadth of architectural work by women and its enduring contribution to the built environment by focusing on the work of alumnae of the Illinois School of Architecture.",0
Spurlock Museum exhibit | In Her Closet—How to Make a Drag Queen,"Spurlock Museum, 600 S Gregory St, Urbana",12:00am - 11:59pm,"October 10, 2019","When you hear “drag queen,” what comes to mind? The popularity of drag has exploded in recent years, and so have the questions and curiosities related to drag artistry. This exhibit explores these questions and curates a selection of costumes and materials loaned by several drag performers connected to the local area.",0
"The Good, the Bad, and the Ugly: Conservation Treatments and Decision Making Through the Ages","Main Library, Room 346",9:00 am - 5:00 pm,"October 10, 2019","While contemporary conservators strive to apply innovative modern conservation treatments for our objects, we see the good, the bad, and the ugly past repairs through the ages in our collections every day. In this exhibition, we bring together examples--many drawn from our own Rare Book & Manuscript Library--to show the dynamic practice of modern book & paper conservation.",0
Farm Stand on the Quad,South Side of Illini Union on the Main Quad,11:00 am - 4:00 pm,"October 10, 2019","The Sustainable Student Farm sells their produce at their farm stand on the Quad every Thursday, 11am to 4pm, from May to end of October.",0
Inside Scoop Lunch with Satsuki Ina,"Asian American Cultural Center Lounge, 1210 Nevada St, Urbana",12:00 - 1:00 pm,"October 10, 2019",Lunch discussion for undergraduates about the internment of Japanese Americans during WWII.,0
Inside Scoop with Community Activist Satsuki Ina,"Asian American Cultural Center (1210 W. Nevada St., Urbana)",12:00 pm,"October 10, 2019","A discussion with undergraduates about the internment of Japanese Americans during World War II. Co-sponsored by the Department of Asian American Studies. Register at go.illinois.edu/InsideScoop by October 2, 2019.",0
I’ve Heard of Carbon Off-Setting – But What is Carbon In-Setting and How Can It Reduce the Carbon Footprint of My Supply Chain?,1 Hazelwood Dr. in Champaign (metered and bike parking available and yellow bus stops one block away),12:00 - 1:00 pm,"October 10, 2019",Seminar/Symposium,0
WW Workshops (Weight Watchers® Reimagined),"249 Bevier Hall (Bevier Commons), 905 South Goodwin Ave, Urbana",12:15 - 12:45 pm,"October 10, 2019","Confidential weigh-in starts at noon, and the meeting runs from 12:15-12:45.",0
Town Hall Presentation of the Main Library Final Redevelopment Plan,"Illini Union Room 210, 1401 West Green Street, Urbana, IL",3:00 - 5:00 pm,"October 10, 2019",The Library Consultation Working Group will host a campus-wide Town Hall presentation and discussion of the 100% submittal of the Main Library Redevelopment Plan Programming and Conceptual Design Study.,0
Health/Fitness,Flu shots at Grainger Library - 1st Floor West,3:30 - 6:30 pm,"October 10, 2019",5:15 - 6:15 pm,0
Prudential Pathways,Siebel Center for Computer Science - Rm 1214,5:15 - 6:15 pm,"October 10, 2019","Prudential Pathways offers practical, down-to earth information that can help you and your family today, tomorrow, and beyond.",0
Art + Design Visitors Series Lecture | Paul Ardenne,KAM Auditorium,5:30 pm,"October 10, 2019","Join us for the School of Art + Design Visitors Lecture featuring guest speaker Paul Ardenne, art historian, critic, and curator.",0
CSAMES Middle East Film Festival: Insult,"Urbana Free Library, 210 W. Green St., Urbana), lower level auditorium",6:30 pm,"October 10, 2019",Film Screening,0
Film Screening | And Then They Came for Us,"Room 210, Second Floor, Levis Faculty Center (919 W. Illinois St., Urbana)",7:00 pm,"October 10, 2019","dir. Abby Ginzberg and Ken Schneider, 2017. Followed by a discussion with Satsuki Ina, community activist, writer, and filmmaker.",0
Film Screening: And Then They Came for Us,"Room 210, Second Floor, Levis Faculty Center (919 W. Illinois St., Urbana)",7:00 pm,"October 10, 2019","Seventy-five years ago, Executive Order 9066 paved the way to the profound violation of constitutional rights that resulted in the forced incarceration of 120,000 Japanese Americans. Featuring George Takei and many others who were incarcerated, as well as newly rediscovered photographs of Dorothea Lange, And Then They Came for Us brings history into the present.",0
KAM Event | SPEAK Café,Espresso Royale Café,7:00 - 9:00 pm,"October 10, 2019","Speak Café stands for Song, Poetry, Expression, Art, and Knowledge. It is an open-mic coffeehouse at Krannert Art Museum.",0
Speak Cafe,"Main Level, Cafe - 500 East Peabody Drive",7:00 - 9:00 pm,"October 10, 2019","Speak Café stands for Song, Poetry, Expression, Art, and Knowledge. It is an open-mic event in the café at Krannert Art Museum.",0
"The Illinois Flamenco-Jazz Project, featuring Flamenco guitarist David Chiriboga","Knight Auditorium, Spurlock Museum",7:00 pm,"October 10, 2019",Performance,0
Exhibit -- The Iron Horse of the Prairie State,"Main Library, room 324",12:00am - 11:59pm,"October 11, 2019","The Illinois History and Lincoln Collections is pleased to present “The Iron Horse of the Prairie State,” an exhibit that explores the evolution of the railroad in Illinois’s history. The exhibit showcases the IHLC’s holdings related to railroads, from their inception when railroad fever struck Illinois in the 1830s to today.",0
Pink Week T-Shirt Sales!,Main Quad,10:00 am - 4:00 pm,"October 11, 2019","An annual tradition, Colleges Against Cancer students will design, make, and sell these unique shirts on the Quad. The shirts are very popular and tend to sell out - come early to get yours! All money supports Breast Cancer Awareness Month.",0
KAM Exhibition | All This Beauty and Color: Highlights from the WPA,"Main Level, Kinkead Gallery",12:00am - 11:59pm,"October 11, 2019",This exhibition showcases a selection of paintings created by American artists who were employed as part of the New Deal Works Progress Administration. This art is on long term loan to Krannert Art Museum from the United States Government and is cared for as part of the museum collection.,0
KAM Exhibition | Art Since 1948,"Main Level, Rosann Gelvin Noel Gallery",12:00am - 11:59pm,"October 11, 2019","With strengths in surrealism, abstract painting, mid-century kinetic and light works, and art addressing powerful themes of history, land use, and identity, ""Art Since 1948"" surveys the collection and encourages formal and conceptual connections across six decades.",0
KAM Exhibition | Reinstallation of European and American Art,"Main Level, Bow and Trees Galleries",12:00am - 11:59pm,"October 11, 2019","The Bow and Trees Galleries, which have been freshly painted with new colors, feature thoughtful reinterpretations of KAM’s collection of European and American art from the 1300s to 1950.",0
